                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.0167,                0.91333,                 1.3174,                0.72238,                0.72143,                0.75897,                0.55924,                0.95048,                0.93978,                 1.3488,               0.006568,               0.006568,               0.006568
                     54,                 1.0017,                0.87565,                 1.3141,                0.71643,                0.72185,                0.76664,                0.56794,                0.93665,                0.87936,                 1.3571,               0.006502,               0.006502,               0.006502
                     55,                 0.9999,                0.87459,                 1.2996,                0.79833,                0.66786,                0.75455,                0.55188,                0.96705,                0.94269,                 1.3567,               0.006436,               0.006436,               0.006436
                     56,                 1.0121,                0.88016,                 1.3105,                0.82327,                0.68211,                0.77689,                0.56669,                 0.9656,                0.91072,                 1.3549,                0.00637,                0.00637,                0.00637
                     57,                  1.001,                0.88048,                 1.3166,                0.76112,                0.69643,                 0.7662,                0.56054,                0.95812,                0.92257,                 1.3516,               0.006304,               0.006304,               0.006304
                     58,                0.99618,                0.86939,                 1.3043,                0.72034,                0.73592,                0.76077,                0.56852,                0.94095,                0.90046,                 1.3261,               0.006238,               0.006238,               0.006238
                     59,                 1.0041,                0.87945,                 1.3082,                0.71688,                0.76786,                0.77753,                0.57288,                0.93431,                0.87449,                 1.3142,               0.006172,               0.006172,               0.006172
                     60,                0.99572,                0.86997,                  1.309,                0.76518,                0.68662,                 0.7631,                0.57108,                0.94252,                0.89147,                 1.3566,               0.006106,               0.006106,               0.006106
                     61,                0.97722,                 0.8568,                 1.2915,                 0.7142,                0.73571,                0.76853,                0.57092,                0.93881,                0.89525,                 1.3308,                0.00604,                0.00604,                0.00604
                     62,                 0.9819,                0.85696,                 1.2969,                0.77805,                0.68929,                0.77481,                0.57897,                0.90065,                0.83411,                 1.3134,               0.005974,               0.005974,               0.005974
                     63,                 0.9881,                0.86697,                 1.2898,                0.72363,                0.75357,                0.77262,                0.56426,                  0.952,                0.87518,                 1.3483,               0.005908,               0.005908,               0.005908
                     64,                0.98586,                0.85927,                 1.2979,                0.76724,                0.70714,                0.77731,                 0.5709,                0.96068,                0.88476,                 1.3697,               0.005842,               0.005842,               0.005842
                     65,                0.97336,                 0.8405,                 1.2911,                0.76817,                0.71003,                0.78258,                0.57897,                0.94547,                0.87023,                 1.3484,               0.005776,               0.005776,               0.005776
                     66,                0.98047,                 0.8434,                 1.2932,                0.75226,                0.71786,                0.77044,                0.57478,                0.92651,                0.87874,                 1.3409,                0.00571,                0.00571,                0.00571
                     67,                0.98095,                0.84004,                 1.2893,                 0.7556,                0.70665,                 0.7623,                0.57882,                0.91656,                0.87034,                  1.333,               0.005644,               0.005644,               0.005644
